Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,Question Number,Question Name,Area affected by climate change,Health-related risk and vulnerability assessment undertaken,Identify the climate hazards most significantly impacting the selected areas,Identify the climate-related health issues faced by your city,Timescale of climate-related issues for the selected health area,Please identify which vulnerable populations are affected by these climate-related impacts,Please explain
Cities 2021,31158,Hanoi City,Viet Nam,Southeast Asia and Oceania,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,31149,Dímos Athinaíon,Greece,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Extreme Precipitation > Rain storm,"Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies)",Medium-term (2026-2050),Children and youth; Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with disabilities,"Extreme precipitation had cost the life of 24 people in 2017 in municipalities in the western part of the prefecture of Attica (of which the Municipality of Athens is part).As many parts of Athens had been built on small streams, since antiquity, some areas of the city are prone to flooding. Rivers that are now underground have caused damage to the grey infrastructure that has placed them underneath the city's surface, causing recently a disruption in the circulation of the tramway in Athens.The city has been experiencing heavy rains and flooding incidents with higher density and frequency during the last years.If the infrastructure of the city is not upgraded to blue and green, extreme floods might lead to the loss of public money on upgrading grey infrastructure, to the generation of undesirable conditions and even worse, to the loss of lives."
Cities 2021,31150,Bangkok Metropolitan Administration,Thailand,Southeast Asia and Oceania,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,31151,Stadt Basel,Switzerland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave,Heat-related illnesses,Medium-term (2026-2050),Elderly; Outdoor workers,"The burden on human health caused by heat is one of the greatest challenges in the canton of Basel-Stadt. Heat has a stressful effect on the organism both during the day and at night. In densely built-up and heavily sealed areas, there is also the heat island effect. Sealed surfaces and buildings heat up during the day and release the stored heat at night. The ventilation situation is also reduced by dense development."
Cities 2021,31151,Stadt Basel,Switzerland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment)",,Biological hazards > Insect infestation; Biological hazards > Vector-borne disease; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > River flood; Storm and wind > Severe wind; Water Scarcity > Drought; Wild fire > Forest fire,,Short-term (by 2025),"Other, please specify","Need for action and measures in the following areas- Biodiversity in the canton of Basel-Stadt is to be preserved and promoted.- The connectivity between habitats is to be maintained and improved.- Endangered species are to be specially promoted.- The choice of tree varieties and greenery in parks is adapted to the climate change.- Moderate and targeted irrigation during drought.- Continuous temperature monitoring of cantonal watercourses.- Planning and implementation of short-term, preventive measures for the protection of fish- Implementation of sustainable fisheries management- Revitalization of watercourses with high benefit for nature and landscape - The watercourse area must be defined in a cantonal land use plan in a way that is binding on the property owner.- The public forest services such as recreation, protection and biodiversity must be guaranteed in a sustainable manner.- Through appropriate measures, the regeneration and adaptability of the forest to changing environmental conditions should at least be maintained and, if possible, increased.- Due to the strong change of the forest image, an intensified public relations work about the measures and processes in the forest is necessary.- Informing particularly vulnerable groups of people about adapted behaviors that can reduce the health burden of heat.- Minimization of the heat island effect in order to guarantee and improve the quality of living and staying in the settlement area.- Improvement of the aeration situation and preservation of cold air conduction paths- Update open space concept Basel 2004 on the basis of an open space supply model (analogous to pilot for Klybeck Kleinhüningen)- Consistent continuation of the planning practice of examining tree planting in all road space projects.- The accumulation of deadwood as a result of climate change and the simultaneous intensive recreational use by the population requires an adapted handling of deadwood in the forest and especially in recreational facilities.- The spread of the tiger mosquito is prevented by monitoring and control as well as by sensitization of the population.- Crop and variety selection as well as cultivation systems are to be geared to water availability.- Soil structure is to be improved so that soils are more resilient to drought and less susceptible to erosion.- Heat input into the Rhine must be minimized, especially during heat waves.- Operational and cooling processes in industry must be optimized in terms of energy.- The reuse of heat must be examined.- Redundant cooling possibilities during heat waves are to be created if possible.- An overall, superordinate groundwater management concept with the aim of affecting the groundwater supply and temperature as little as possible is being developed.- Potential conflicts between different users are identified and managed at an early stage by means of coordinated use regulation.- Ensuring drinking water supply even during prolonged periods of heat and drought- Forest management and tree species composition in the Hardwald and Lange Erlen forests are to be designed in such a way that the forest can continue to make an unrestricted contribution to drinking water production, recreational use and biodiversity.- Measures to reduce the potential for damage in areas with medium to high risk of flooding and surface run-off- Adjust the building permit process for flooding and surface runoff.- Implement a climate-adapted and optimized stormwater management system that better addresses drought and heavy rainfall requirements.- Review of the dimensioning of the sewer system with regard to the changes in heavy rainfall events to date and the expected future climate-related increase in terms of sewer backwater and stormwater discharge duration- Introduction of the process control system for the storage and targeted discharge of wastewater during heavy rainfall events- Reduction of combined sewer volume (peak load) through increased retention and infiltration of stormwater runoff (see chapter on stormwater management)- Securing of dome covers at critical/exposed locations- For exterior materials, construction materials should be used that correspond at least to the hail resistance class HW 3. - Analysis of the utilization/performance capacity limits of air-conditioning systems in public transport, examination of the possibility of upgrading existing air-conditioning units, possible replacement of existing air-conditioning systems with new, more efficient models.- Building regulations will prevent an excessive increase in cooling energy demand."
Cities 2021,31153,Bundeshauptstadt Berlin,Germany,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave,Direct physical injuries and deaths due to extreme weather events,Current,Elderly,"When it comes to human health, climate change can have a wide range of direct and indirect effects. Thermal stresses, which is increasing in frequency and intensity, can directly cause damage to health. Hot days and tropical nights impact people's ability to perform and their capacity to recover. Symptoms of cardiac, circulatory and respiratory diseases can also be exacerbated. If the stress caused by the heat is particularly severe, the mortality risk increases. Increased UV radiation produces an increase in skin cancers and is considered a risk factor for the development of glaucoma (eye disease). Please find further information on the calculations of heat-related excess mortality in our Monitoring System dibek: https://dibek.berlin.de/?lang=en#caption_c3c391c1066"
Cities 2021,31154,Bogotá Distrito Capital,Colombia,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Biological hazards > Air-borne disease; Biological hazards > Vector-borne disease; Biological hazards > Water-borne disease; Extreme cold temperature > Extreme cold days; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > River flood; Mass movement > Rock fall; Water Scarcity > Drought; Wild fire > Forest fire,"Air-pollution related illnesses; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Short-term (by 2025),"Children and youth; Elderly; Low-income households; Other, please specify: Comunidades campesinas, población migrante; Outdoor workers; Persons living in sub-standard housing; Unemployed persons; Women","La Secretaría Distrital de Salud (SDS), a través del Observatorio de Salud de Bogotá (SALUDATA), cuenta con indicadores que permiten determinar el impacto del cambio climático en la salud, como eventos notificados de Enfermedad Similar a la Influenza – Infección Respiratoria Aguda Grave (ESI-IRAG), casos notificados de dengue y leptospirosis, familias afectadas por fenómenos de remoción en masa e inundaciones. Estos indicadores, muestran que, por ejemplo, los casos de ESRI-IRAG aumentan en la temporada de lluvias de la ciudad. En 2020, el 77,% de los casos se presentó en temporada de lluvias; este porcentaje considerablemente más alto con respecto al observado para los años 2009 a 2019, se relaciona, por una parte, con el comportamiento de la precipitación durante este año, donde la temporada de lluvia correspondió a los meses de febrero, marzo, junio, julio, septiembre, noviembre y diciembre.Con relación a los casos de Dengue, para el período comprendido entre el 2009 al 2020, se puede observar un aumento en la notificación de casos en el 2013 durante todo el año en comparación con el 2012, notificación que se mantuvo entre 2014-2015, aunque con una disminución no muy marcada. Esta disminución fue mucho más evidente en los años 2016-2017. Para el año 2018, se incrementó la notificación en un 26 % con 646 casos en comparación con los 478 casos en 2017, pero, un aumento no cercano a lo reportado en el período 2012-2015. Lo anterior, probablemente esta relacionado con el fenómeno de La Niña que ha venido presentando su comportamiento normal característico desde principios de noviembre 2017, aunque con un decaimiento de sus características atmosféricas típicas, debido en parte a una fuerte actividad intraestacional durante febrero, lo que llevó a condiciones neutras entre marzo y abril. Para 2019 y 2020 en concordancia con los casos notificados se refleja que otras oscilaciones climáticas han sido más significativas que el mismo ENOS sobre la precipitación en el centro del país; especialmente las asociadas a la intraestacionalidad, como la oscilación Madden & Julián; perturbaciones que influenciaron el comportamiento climático del país asociado a la debilidad del patrón de El Niño. Lo anterior podría influir en los patrones de transmisión del Dengue, por lo que se ven aumentos considerables en el número de casos notificados en los meses de mayo, julio y noviembre, y con la tendencia a un aumento considerable en comparación con años anteriores. De otra parte, los Fenómenos de Remoción en Masa (FRM) aumentaron en los meses con mayor precipitación, debido principalmente a condiciones estacionales (abril, mayo, octubre y noviembre), registrando los valores más altos en meses donde estuvo presente el fenómeno de La Niña (segundo semestre 2010, año 2011 y primer trimestre 2012). De manera recíproca, la cantidad de eventos disminuyeron en épocas de verano o baja precipitación. En 2018, se presentó una disminución del 32,4 % de eventos de FRM registrados y una disminución del 58,2 % del número de familias afectadas, respecto a los eventos registrados durante el año 2017. En el primer semestre 2020 (enero-junio), se presentaron 146 FRM, dejando 304 familias afectadas, lo que representa un incremento del 15,9% de los deslizamientos registrados, no en tanto, una disminución del 23,24% de las familias afectadas respectivamente frente a lo reportado en el año 2019.  Durante el año 2020 hubo menos lluvias de las esperadas en marzo, abril y mayo,  pero, con la instalación del fenómeno de La Niña desde agosto, presentando intensidad de moderada a intensa, principalmente en noviembre y diciembre; en noviembre se presentaron 204 reportes de damnificados por eventos de remoción en masa por deslizamientos."
Cities 2021,31155,City of Buenos Aires,Argentina,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",No,Biological hazards > Vector-borne disease; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood,"Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Medium-term (2026-2050),Children and youth; Elderly; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with pre-existing medical conditions; Women,"Las proyecciones climáticas para el corto, mediano y largo plazo prevén un aumento en la intensidad y duración de los eventos climáticos extremos en la ciudad de Buenos Aires. Estos cambios aumentarán la probabilidad de percibir mayores impactos en la salud poblacional, pudiendo generar una mayor demanda en los servicios de atención primaria, requiriendo un fortalecimiento continuo y robusto de la provisión de servicios, infraestructura y tecnologías."
Cities 2021,31163,Istanbul Metropolitan Municipality,Turkey,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment)",Yes,Extreme hot temperature > Extreme hot days; Extreme Precipitation > Hail; Extreme Precipitation > Rain storm,"Disruption to water, sanitation and wastewater services; Food & Nutrition Security",,Children and youth; Elderly; Low-income households; Outdoor workers; Persons with disabilities; Women,"Istanbul has faced some climate events such as; drought, extreme snow, flood and hail."
Cities 2021,31164,Ho Chi Minh City,Viet Nam,Southeast Asia and Oceania,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,,,,,,,
Cities 2021,31165,Stadt Heidelberg,Germany,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,31166,Jakarta City Government,Indonesia,Southeast Asia and Oceania,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes",Yes,Extreme Precipitation > Rain storm; Flood and sea level rise > Coastal flood; Flood and sea level rise > River flood,"Air-pollution related illnesses; Disruption to water, sanitation and wastewater services; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Current,Elderly; Low-income households; Persons living in sub-standard housing; Persons with pre-existing medical conditions,
Cities 2021,31167,City of Lagos,Nigeria,Africa,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Biological hazards > Air-borne disease; Biological hazards > Vector-borne disease; Biological hazards > Water-borne disease; Extreme hot temperature > Extreme hot days; Extreme Precipitation > Rain storm,"Air-pollution related illnesses; Disruption to health service provision; Disruption to water, sanitation and wastewater services; Food & Nutrition Security; Lack of climate-informed surveillance, preparedness, early warning and response; Overwhelming of health service provision due to increased demand",Medium-term (2026-2050),Children and youth; Elderly; Indigenous populations; Women,No study has been done on this but the city is aware that there are posssible connections of health related diseases due to climate change
Cities 2021,31168,City District Government Karachi,Pakistan,South and West Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,31169,Government of Hong Kong Special Administrative Region,"China, Hong Kong Special Administrative Region",East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Biological hazards > Water-borne disease; Extreme hot temperature > Extreme hot days,"Heat-related illnesses; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Current,Low-income households,"Reference: Chan, E.Y.Y. 2019. Climate change and urban health: The case of Hong Kong as a subtropical city. London: Routledge."
Cities 2021,31170,Metropolitan Municipality of Lima,Peru,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Heat wave; Flood and sea level rise > Coastal flood; Mass movement > Landslide,"Air-pollution related illnesses; Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Medium-term (2026-2050),Children and youth; Elderly; Women,"Existen un total de 2.424 instalaciones de salud, repartidas en 165 Establecimientos de salud con internamiento, 1.905 Establecimientos de salud sin internamiento y 354 Servicios médicos de apoyo, de acuerdo a las categorías establecidas por MINSA. Donde el Centro de Lima es el área de mayor concentración de establecimientos, con 976 (40% del total de Lima Metropolitana)De los peligros identificados en el Análisis de Riesgo Climático, se concluye a traves de las proyecciones climáticas que en relación al peligro inundaciones, para el receptor/sujeto salud aproximadamente un 1% de los centros sanitarios presentan riesgo “Alto”, mientras que un 24% sobre el total presentarían riesgo moderado en el escenario RCP 8.5. En este caso se ha asignado una mayor vulnerabilidad a aquellos centros que presentan servicios de internamiento. Por el lado de los movimientos en masa el nivel de riesgo de los centros de salud varía en función de su localización y tamaño. Los centros, localizados en las laderas inestables donde la susceptibilidad a los movimientos en masa es alta y su tamaño es mayor (p.ej. centros con internamiento), manifiestan un nivel de riesgo muy alto. Por el contrario, los de menor tamaño y ubicados en la zona costera (p.ej. centros sin internamiento) poseen un menor riesgo. Por otro lado, en cuanto al peligro olas de calor, los centros de salud poseen en su mayoría un riesgo “Moderado”. El motivo se debe a que en general son centros sin internamiento, por lo que se consideran centros de mediano tamaño con una vulnerabilidad moderada."
Cities 2021,31171,Ayuntamiento de Madrid,Spain,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,No,Biological hazards > Vector-borne disease; Extreme cold temperature > Extreme cold days; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Storm and wind > Severe wind; Water Scarcity > Drought; Wild fire > Forest fire,"Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Current,Elderly; Indigenous populations; Marginalized groups; Outdoor workers; Persons with disabilities,
Cities 2021,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,15,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes",Yes,Mass movement > Rock fall,"Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Mental health impacts",Current,Persons living in sub-standard housing,"Rockfall is a specific type of mass movement, such as landslides, which may cause injuries, death and damage to households/property in occupied areas, as also disrupt transportation when one of these events happen near a road or other kind of mobility system, such as rails."
Cities 2021,31172,Mexico City,Mexico,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",No,Biological hazards > Vector-borne disease; Chemical change > Atmospheric CO2 concentrations; Extreme hot temperature > Heat wave; Extreme Precipitation > Hail; Flood and sea level rise > Flash / surface flood; Wild fire > Forest fire,"Air-pollution related illnesses; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Heat-related illnesses; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Current,Children and youth; Elderly; Outdoor workers; Persons with pre-existing medical conditions,"Debido a los riesgos que se presentan anteriormente, los servicios de salud pueden verse rebasados por lo que es importante disminuir su frecuencia y gravedad en medida de lo posible."
Cities 2021,31173,Comune di Milano,Italy,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,No,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave,"Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses",Current,Children and youth; Elderly; Women,"Among the main health issues related to climate change in Milan there is extreme heat, which is a threat for senior citizens and children: one of the main issues about it is that it is not easy to assess the precise amount of people affected or killed by an heatstroke since casualties data its collectted accordingly to a national classification which doesn't include heat related illnesses."
Cities 2021,31174,Moscow Government,Russian Federation,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Chemical change > Atmospheric CO2 concentrations; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave,Air-pollution related illnesses; Heat-related illnesses,Current,Children and youth; Elderly; Factory workers; Indigenous populations; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,Moscow government is facing risks to public health or health systems associated with climate change. That is why in 2013 the Moscow Mayor approved an action plan for the executive authorities of the city of Moscow to reduce the impact of abnormal heat and air pollution on public health. The plan provides for the issuance of warnings about the onset of three levels of danger of heat and air pollution. Each hazard level has its own system of measures aimed at reducing the cumulative impact of heat and air pollution on public health.
Cities 2021,31175,Ville de Paris,France,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Biological hazards > Air-borne disease; Biological hazards > Vector-borne disease; Biological hazards > Water-borne disease; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Water Scarcity > Drought,"Air-pollution related illnesses; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Mental health impacts; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Medium-term (2026-2050),Children and youth; Elderly; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons,"For vectorial born diseases: As explained above, the increased importance of water and nature in cities, as part of adaptation to climate change, leads to an increased risk of tiger mosquito implantation or the stronger presence of the common mosquito. This issue is taken into account by monitoring the implantation of tiger mosquitoes on the territory and actions to suppress larval gites. Innovations such as bioclimatic mosquito nets are also being tested and assessed in public buildings.For heat-related illnesses: The increase in heat wave episodes can weaken certain categories of the population.The Heat Wave Plan provides for prevention and warning measures that concern in particular the elderly, who are more vulnerable and often more isolated, as well as children and homeless people.  Registration on a file of isolated vulnerable people for monitoring during heat waves and other health risks. In addition, Parisians can search for cool places on Paris website . It lists more than 900 islands of coolness in Paris, whether permanent (gardens, municipal facilities ...) or temporary (foggers, exceptional openings of parks ...). For waters-born diseases: medical monitoring and risk prevention (vaccination against leptospirosis, taking into account the risk of heat, mosquitoes, rats, etc.) is deployed for agents working in high-risk professions (sewer workers, cleaning agents, park and gardens, etc.). In addition, a coordinated rat control plan is being implemented in Paris. For air-born diseases : the increase in temperature could also bring certain allergenic species to new regions (particularly for herbaceous plants that move more quickly), promote pollen production and make pollen more allergenic (increase in the quantities of allergens). The allergic risk associated with pollen exposure is monitored by the City and the National Aerobiological Monitoring Network (NAMN), and the results are communicated to the public and health professionals to help limit the health impact. In addition, the City's vegetalization policy takes into account the allergic risk in the choice of plant species planted.Concerning diseases related to air pollution: the 2017-2025 Air Protection Plan (APP) for Île-de-France was approved in 2018. It aims at reducing air pollution from all sectors of activity: air, agriculture, industry, residential and transportation. It particularly targets wood heating and road traffic, the main sources of fine particles and nitrogen dioxides in Ile-de-France. On the local level, several reference documents have been put in place by the City of Paris: The Parisian Health and Environment Plan (PPSE) to reduce health damage linked to the degradation of our environment, and the Paris' Climate Action Plan."
Cities 2021,31175,Ville de Paris,France,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Flood and sea level rise > River flood; Water Scarcity > Drought,"Air-pollution related illnesses; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Medium-term (2026-2050),Children and youth; Elderly; Factory workers; Marginalized groups; Outdoor workers,"To cope with the new climatic hazards and diseases that may develop, the city of Paris has major hospital facilities, including services specializing in tropical infectious diseases. The density of doctors per inhabitant is higher than the national average. Nevertheless, a large part of the supply is not financially accessible to all because of strong social inequalities in health related to many determinants (living environment, housing, exposure to pollution and nuisances, risk behaviors).  The training of health professionals will have to be adapted in the future for the detection of diseases that are still little or not present in the territory."
Cities 2021,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme Precipitation > Rain storm,"Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services; Mental health impacts; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Current,"Marginalized groups; Other, please specify: whole population; Persons living in sub-standard housing","With increasing intensity and frequency of rainfall and winds, all the population is in health risk, specially the persons living in sub-standard housing wich are frequently in slopes or in flood risk areas. During rain storm there is also risk of disruption of city services and damage or destruction of city infraestructure."
Cities 2021,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Storm and wind > Severe wind,"Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies)",Current,"Marginalized groups; Other, please specify: whole population; Persons living in sub-standard housing","Falling trees, with possible blocking streets and damage to human life; falls of suspended equipment, such as roofs, water tanks slabs, antennas etc; damage to the power grid by cable detachment, wiring that may cause impact in population health."
Cities 2021,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,3,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes",Yes,Storm and wind > Storm surge,Direct physical injuries and deaths due to extreme weather events,Current,,"Storm surge eventes are already being felt in the city, meaning no major danger to the population, but repeatedly causing damage and destruction in public areas, such as Praia da Macumba and equipment on Barra da Tijuca and Leblon  beaches and the bike path from Niemeyer Avenue."
Cities 2021,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,4,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Storm and wind > Tropical storm,"Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Mental health impacts; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Medium-term (2026-2050),"Marginalized groups; Other, please specify: whole population; Outdoor workers; Persons living in sub-standard housing","It’s expected that the increase of frequency and intensity of extratropical cyclones in the South and Southeast of Brasil will,   in a medium-term, bring extrem weather events like major storms, high waves and severe wind more frequently to the city."
